# Header information on force file

val_dih
N 37 DEGREES

1 -180.0	162000.0	1800
2 -170.0	144500.0	1700
3 -160.0	128000.0	1600
4 -150.0	112500.0	1500
5 -140.0	98000.0	1400
6 -130.0	84500.0	1300
7 -120.0	72000.0	1200
8 -110.0	60500.0	1100
9 -100.0	50000.0	1000
10 -90.0	40500.0	900
11 -80.0	32000.0	800
12 -70.0	24500.0	700
13 -60.0	18000.0	600
14 -50.0	12500.0	500
15 -40.0	8000.0	400
16 -30.0	4500.0	300
17 -20.0	2000.0	200
18 -10.0	500.0	100
19 0.0	0.0	0
20 10.0	500.0	-100
21 20.0	2000.0	-200
22 30.0	4500.0	-300
23 40.0	8000.0	-400
24 50.0	12500.0	-500
25 60.0	18000.0	-600
26 70.0	24500.0	-700
27 80.0	32000.0	-800
28 90.0	40500.0	-900
29 100.0	50000.0	-1000
30 110.0	60500.0	-1100
31 120.0	72000.0	-1200
32 130.0	84500.0	-1300
33 140.0	98000.0	-1400
34 150.0	112500.0	-1500
35 160.0	128000.0	-1600
36 170.0	144500.0	-1700
37 179.99	161982.0	-1799.9
